Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.95918367,27
"Nu: 0.7, Gamma: 0.1",2,3,6,33,79.54545455,0,40,,,
"Nu: 0.7, Gamma: 0.2",2,3,6,33,79.54545455,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,3,2,37,88.63636364,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,3,1,38,90.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,3,0,39,93.18181818,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,3,0,39,93.18181818,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,4,2,37,86.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,4,1,38,88.63636364,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,4,1,38,88.63636364,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,4,2,37,86.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,4,2,37,86.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,4,2,37,86.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,4,2,37,86.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,5,1,38,86.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,4,0,39,90.90909091,0,40,,,
